Gender,ExactAge,FlooredAge,Race,Ethnicity,AgeGroup,StudyID
Women,20.904109589041095,20,Asian,Not Hispanic or Latino,Adults,1
Women,20.23835616438356,20,Not Captured by Options,Not Hispanic or Latino,Adults,2
Women,20.427397260273978,20,White,Hispanic or Latino,Adults,3
Women,20.643835616438356,20,Asian,Not Hispanic or Latino,Adults,4
Women,21.005479452054793,21,Not Captured by Options,Hispanic or Latino,Adults,5
Women,19.183561643835617,19,Asian,Not Hispanic or Latino,Adults,6
Women,18.117808219178084,18,Asian,Not Hispanic or Latino,Adults,7
Women,19.03835616438356,19,Not Captured by Options,Not Hispanic or Latino,Adults,8
Women,18.471232876712328,18,Asian,Not Hispanic or Latino,Adults,9
Women,20.361643835616437,20,White,Not Hispanic or Latino,Adults,10
Women,20.676712328767124,20,White,Not Hispanic or Latino,Adults,11
Not Captured by Options,14.942465753424658,14,White,Not Hispanic or Latino,Adolescents,12
Women,20.65205479452055,20,White,Not Hispanic or Latino,Adults,13
Women,19.813698630136987,19,White,Not Hispanic or Latino,Adults,14
Women,13.336986301369864,13,Black or African American,Not Hispanic or Latino,Adolescents,15
Men,13.69041095890411,13,Not Captured by Options,Hispanic or Latino,Adolescents,16
Women,18.676712328767124,18,White,Not Hispanic or Latino,Adults,17
Women,18.273972602739725,18,Asian,Not Hispanic or Latino,Adults,18
Women,19.027397260273972,19,Asian,Not Hispanic or Latino,Adults,19
Men,14.178082191780822,14,Black or African American,Not Hispanic or Latino,Adolescents,20
Women,19.731506849315068,19,Asian,Not Hispanic or Latino,Adults,21
Women,19.75068493150685,19,Asian,Not Hispanic or Latino,Adults,22
Women,19.91780821917808,19,White,Hispanic or Latino,Adults,23
Women,14.3013698630137,14,White,Not Hispanic or Latino,Adolescents,24
Women,13.082191780821915,13,Not Captured by Options,Not Hispanic or Latino,Adolescents,25
Men,14.013698630136986,14,Asian,Not Hispanic or Latino,Adolescents,26
Men,12.227397260273971,12,Black or African American,Not Hispanic or Latino,Children,27
Women,14.106849315068493,14,Not Captured by Options,Not Hispanic or Latino,Adolescents,28
Women,15.205479452054794,15,White,Not Hispanic or Latino,Adolescents,29
Women,12.652054794520549,12,Not Captured by Options,Not Hispanic or Latino,Children,30
Women,14.41917808219178,14,White,Not Hispanic or Latino,Adolescents,31
Men,13.868493150684932,13,White,Not Hispanic or Latino,Adolescents,32
Women,11.178082191780822,11,Asian,Not Hispanic or Latino,Children,33
Men,12.465753424657532,12,Not Captured by Options,Not Hispanic or Latino,Children,34
Women,8.704109589041096,8,Not Captured by Options,Not Hispanic or Latino,Children,35
Women,8.073972602739726,8,White,Hispanic or Latino,Children,36
Women,8.942465753424658,8,White,Not Hispanic or Latino,Children,37
Men,9.035616438356165,9,Not Captured by Options,Not Hispanic or Latino,Children,38
Men,9.465753424657532,9,White,Not Hispanic or Latino,Children,39
Men,9.657534246575343,9,White,Not Hispanic or Latino,Children,40
Men,8.67123287671233,8,White,Not Hispanic or Latino,Children,41
Women,10.095890410958903,10,Not Captured by Options,Hispanic or Latino,Children,42
Women,9.915068493150685,9,White,Not Hispanic or Latino,Children,43
Women,16.2986301369863,16,White,Not Hispanic or Latino,Adolescents,44
Women,14.158904109589042,14,Black or African American,Not Hispanic or Latino,Adolescents,45
Women,11.665753424657536,11,White,Not Hispanic or Latino,Children,46
Women,15.326027397260274,15,White,Not Hispanic or Latino,Adolescents,47
Men,9.865753424657534,9,White,Not Hispanic or Latino,Children,48
Men,9.865753424657534,9,White,Not Hispanic or Latino,Children,49
Women,15.227397260273971,15,White,Not Hispanic or Latino,Adolescents,50
Women,8.04109589041096,8,American Indian or Alaska Native,Hispanic or Latino,Children,51
Men,15.03013698630137,15,Asian,Not Hispanic or Latino,Adolescents,52
Women,22.775342465753425,22,White,Not Hispanic or Latino,Adults,53
Women,21.567123287671233,21,Asian,Not Hispanic or Latino,Adults,54
Women,21.39452054794521,21,Asian,Not Hispanic or Latino,Adults,55
Women,21.35890410958904,21,White,Not Hispanic or Latino,Adults,56
Women,21.578082191780823,21,White,Not Hispanic or Latino,Adults,57
Women,21.13972602739726,21,Asian,Not Hispanic or Latino,Adults,58
Women,21.16164383561644,21,White,Not Hispanic or Latino,Adults,59
Men,21.432876712328767,21,Not Captured by Options,Not Hispanic or Latino,Adults,60
Men,21.15068493150685,21,Black or African American,Not Hispanic or Latino,Adults,61
Men,21.356164383561644,21,White,Hispanic or Latino,Adults,62
Men,22.2986301369863,22,White,Not Hispanic or Latino,Adults,63
Women,9.476712328767125,9,White,Not Hispanic or Latino,Children,64
Men,12.843835616438357,12,White,Not Hispanic or Latino,Children,65
Women,12.263013698630138,12,White,Not Hispanic or Latino,Children,66
Women,15.846575342465751,15,White,Not Hispanic or Latino,Adolescents,67
Women,15.027397260273972,15,White,Not Hispanic or Latino,Adolescents,68
Women,9.213698630136989,9,White,Not Hispanic or Latino,Children,69
Men,14.994520547945204,14,White,Not Hispanic or Latino,Adolescents,70
Women,22.76164383561644,22,Asian,Not Hispanic or Latino,Adults,71
Women,22.45205479452055,22,White,Not Hispanic or Latino,Adults,72
Men,12.26027397260274,12,White,Not Hispanic or Latino,Children,73
Men,10.41917808219178,10,Asian,Not Hispanic or Latino,Children,74
Women,11.58904109589041,11,White,Not Hispanic or Latino,Children,75
Men,22.589041095890412,22,White,Not Hispanic or Latino,Adults,76
