Model,AIC_Value,ExactAge,AgeGroup,StudyID
Vanilla,184.290176531747,20.904109589041095,Adults,1
EmoQ,181.925017314023,20.904109589041095,Adults,1
EmoBias,180.858233993936,20.904109589041095,Adults,1
EmoHier,194.42418346837,20.904109589041095,Adults,1
EmoAvg,182.024885409341,20.904109589041095,Adults,1
Cong,184.589144063736,20.904109589041095,Adults,1
Cond,174.374511987474,20.904109589041095,Adults,1
CongBeta,181.566331050231,20.904109589041095,Adults,1
CondBeta,177.588359016697,20.904109589041095,Adults,1
Vanilla,253.532985001581,20.23835616438356,Adults,2
EmoQ,205.7279606419,20.23835616438356,Adults,2
EmoBias,245.339042793869,20.23835616438356,Adults,2
EmoHier,224.054397032009,20.23835616438356,Adults,2
EmoAvg,214.699121774067,20.23835616438356,Adults,2
Cong,211.436761308942,20.23835616438356,Adults,2
Cond,194.319302730052,20.23835616438356,Adults,2
CongBeta,215.465088667363,20.23835616438356,Adults,2
CondBeta,197.2663417921,20.23835616438356,Adults,2
Vanilla,199.646677763949,20.427397260273978,Adults,3
EmoQ,81.5293601362768,20.427397260273978,Adults,3
EmoBias,72.3373032164147,20.427397260273978,Adults,3
EmoHier,156.465990328468,20.427397260273978,Adults,3
EmoAvg,63.8638318389289,20.427397260273978,Adults,3
Cong,136.576809915673,20.427397260273978,Adults,3
Cond,137.990485799649,20.427397260273978,Adults,3
CongBeta,130.620197767975,20.427397260273978,Adults,3
CondBeta,125.771669861159,20.427397260273978,Adults,3
Vanilla,150.585486826892,20.643835616438356,Adults,4
EmoQ,170.741500185607,20.643835616438356,Adults,4
EmoBias,169.439869970964,20.643835616438356,Adults,4
EmoHier,154.585487357121,20.643835616438356,Adults,4
EmoAvg,166.474132405547,20.643835616438356,Adults,4
Cong,150.14399318809,20.643835616438356,Adults,4
Cond,138.896400753694,20.643835616438356,Adults,4
CongBeta,150.887441785401,20.643835616438356,Adults,4
CondBeta,139.637488956553,20.643835616438356,Adults,4
Vanilla,253.532985001581,21.005479452054793,Adults,5
EmoQ,248.100328124025,21.005479452054793,Adults,5
EmoBias,250.100328124011,21.005479452054793,Adults,5
EmoHier,256.952466418846,21.005479452054793,Adults,5
EmoAvg,250.100328124026,21.005479452054793,Adults,5
Cong,250.654835445361,21.005479452054793,Adults,5
Cond,252.654835411433,21.005479452054793,Adults,5
CongBeta,250.654839993382,21.005479452054793,Adults,5
CondBeta,252.654840047098,21.005479452054793,Adults,5
Vanilla,152.479897790022,19.183561643835617,Adults,6
EmoQ,190.699558013203,19.183561643835617,Adults,6
EmoBias,148.580628616105,19.183561643835617,Adults,6
EmoHier,156.479897790113,19.183561643835617,Adults,6
EmoAvg,187.044501027623,19.183561643835617,Adults,6
Cong,152.21430688529,19.183561643835617,Adults,6
Cond,154.187530034346,19.183561643835617,Adults,6
CongBeta,153.225176687286,19.183561643835617,Adults,6
CondBeta,155.184748101738,19.183561643835617,Adults,6
Vanilla,253.532985001581,18.117808219178084,Adults,7
EmoQ,250.673364788055,18.117808219178084,Adults,7
EmoBias,248.117251746992,18.117808219178084,Adults,7
EmoHier,252.493995732441,18.117808219178084,Adults,7
EmoAvg,252.570248649309,18.117808219178084,Adults,7
Cong,257.532985001581,18.117808219178084,Adults,7
Cond,255.946235993828,18.117808219178084,Adults,7
CongBeta,254.762281166934,18.117808219178084,Adults,7
CondBeta,255.893931836124,18.117808219178084,Adults,7
Vanilla,253.532985001581,19.03835616438356,Adults,8
EmoQ,182.339782493591,19.03835616438356,Adults,8
EmoBias,193.556269752546,19.03835616438356,Adults,8
EmoHier,195.556269770912,19.03835616438356,Adults,8
EmoAvg,193.377961909406,19.03835616438356,Adults,8
Cong,229.095872025269,19.03835616438356,Adults,8
Cond,183.145219505407,19.03835616438356,Adults,8
CongBeta,229.751051773857,19.03835616438356,Adults,8
CondBeta,182.949990820075,19.03835616438356,Adults,8
Vanilla,249.03404402738,18.471232876712328,Adults,9
EmoQ,242.550423238563,18.471232876712328,Adults,9
EmoBias,240.303272286052,18.471232876712328,Adults,9
EmoHier,246.529844313486,18.471232876712328,Adults,9
EmoAvg,244.12556962063,18.471232876712328,Adults,9
Cong,244.722909129806,18.471232876712328,Adults,9
Cond,246.722909097431,18.471232876712328,Adults,9
CongBeta,245.069485509507,18.471232876712328,Adults,9
CondBeta,247.069485510088,18.471232876712328,Adults,9
