Model,BIC_Value,ExactAge,AgeGroup,StudyID
Vanilla,190.676090233527,20.904109589041095,Adults,1
EmoQ,188.310931015804,20.904109589041095,Adults,1
EmoBias,190.437104546607,20.904109589041095,Adults,1
EmoHier,207.196010871931,20.904109589041095,Adults,1
EmoAvg,191.603755962012,20.904109589041095,Adults,1
Cong,197.360971467297,20.904109589041095,Adults,1
Cond,190.339296241925,20.904109589041095,Adults,1
CongBeta,194.338158453792,20.904109589041095,Adults,1
CondBeta,193.553143271148,20.904109589041095,Adults,1
Vanilla,259.918898703361,20.23835616438356,Adults,2
EmoQ,212.11387434368,20.23835616438356,Adults,2
EmoBias,254.917913346539,20.23835616438356,Adults,2
EmoHier,236.82622443557,20.23835616438356,Adults,2
EmoAvg,224.277992326738,20.23835616438356,Adults,2
Cong,224.208588712502,20.23835616438356,Adults,2
Cond,210.284086984504,20.23835616438356,Adults,2
CongBeta,228.236916070924,20.23835616438356,Adults,2
CondBeta,213.231126046551,20.23835616438356,Adults,2
Vanilla,206.032591465729,20.427397260273978,Adults,3
EmoQ,87.9152738380573,20.427397260273978,Adults,3
EmoBias,81.9161737690853,20.427397260273978,Adults,3
EmoHier,169.237817732029,20.427397260273978,Adults,3
EmoAvg,73.4427023915995,20.427397260273978,Adults,3
Cong,149.348637319234,20.427397260273978,Adults,3
Cond,153.9552700541,20.427397260273978,Adults,3
CongBeta,143.392025171536,20.427397260273978,Adults,3
CondBeta,141.736454115611,20.427397260273978,Adults,3
Vanilla,156.971400528672,20.643835616438356,Adults,4
EmoQ,177.127413887387,20.643835616438356,Adults,4
EmoBias,179.018740523635,20.643835616438356,Adults,4
EmoHier,167.357314760682,20.643835616438356,Adults,4
EmoAvg,176.053002958218,20.643835616438356,Adults,4
Cong,162.915820591651,20.643835616438356,Adults,4
Cond,154.861185008145,20.643835616438356,Adults,4
CongBeta,163.659269188962,20.643835616438356,Adults,4
CondBeta,155.602273211004,20.643835616438356,Adults,4
Vanilla,259.918898703361,21.005479452054793,Adults,5
EmoQ,254.486241825805,21.005479452054793,Adults,5
EmoBias,259.679198676681,21.005479452054793,Adults,5
EmoHier,269.724293822407,21.005479452054793,Adults,5
EmoAvg,259.679198676697,21.005479452054793,Adults,5
Cong,263.426662848922,21.005479452054793,Adults,5
Cond,268.619619665884,21.005479452054793,Adults,5
CongBeta,263.426667396942,21.005479452054793,Adults,5
CondBeta,268.619624301549,21.005479452054793,Adults,5
Vanilla,158.865811491803,19.183561643835617,Adults,6
EmoQ,197.085471714983,19.183561643835617,Adults,6
EmoBias,158.159499168776,19.183561643835617,Adults,6
EmoHier,169.251725193674,19.183561643835617,Adults,6
EmoAvg,196.623371580294,19.183561643835617,Adults,6
