Model,Pseudor_Value,ExactAge,AgeGroup,StudyID
Random,-124.76649250079,20.904109589041095,Adults,1
Vanilla,0.277489601101815,20.904109589041095,Adults,1
EmoQ,0.286967944086044,20.904109589041095,Adults,1
EmoBias,0.299258035995406,20.904109589041095,Adults,1
EmoHier,0.252907652801135,20.904109589041095,Adults,1
EmoAvg,0.294582696519155,20.904109589041095,Adults,1
Cong,0.292321437734503,20.904109589041095,Adults,1
Cond,0.341271407519799,20.904109589041095,Adults,1
CongBeta,0.304435319245941,20.904109589041095,Adults,1
CondBeta,0.328391959821923,20.904109589041095,Adults,1
Random,-124.76649250079,20.23835616438356,Adults,2
Vanilla,-1.77635683940025e-15,20.23835616438356,Adults,2
EmoQ,0.191577976592463,20.23835616438356,Adults,2
EmoBias,0.0408520829727061,20.23835616438356,Adults,2
EmoHier,0.134164980110181,20.23835616438356,Adults,2
EmoAvg,0.163641144385198,20.23835616438356,Adults,2
Cong,0.184729981458551,20.23835616438356,Adults,2
Cond,0.26134293336456,20.23835616438356,Adults,2
CongBeta,0.168586515061128,20.23835616438356,Adults,2
CondBeta,0.249532714919776,20.23835616438356,Adults,2
Random,-124.76649250079,20.427397260273978,Adults,3
Vanilla,0.215948633954306,20.427397260273978,Adults,3
EmoQ,0.689302157244719,20.427397260273978,Adults,3
EmoBias,0.734154171177031,20.427397260273978,Adults,3
EmoHier,0.405024588923472,20.427397260273978,Adults,3
EmoAvg,0.768111490997623,20.427397260273978,Adults,3
Cong,0.484730205448153,20.427397260273978,Adults,3
Cond,0.487079891266324,20.427397260273978,Adults,3
CongBeta,0.508601246575885,20.427397260273978,Adults,3
CondBeta,0.536046627821864,20.427397260273978,Adults,3
Random,-124.76649250079,20.643835616438356,Adults,4
Vanilla,0.412560680801524,20.643835616438356,Adults,4
EmoQ,0.331785734921775,20.643835616438356,Adults,4
EmoBias,0.345016972525981,20.643835616438356,Adults,4
EmoHier,0.412560678676637,20.643835616438356,Adults,4
EmoAvg,0.356902124965439,20.643835616438356,Adults,4
Cong,0.430359905376079,20.643835616438356,Adults,4
Cond,0.483449449567249,20.643835616438356,Adults,4
CongBeta,0.427380545363587,20.643835616438356,Adults,4
CondBeta,0.480479548803009,20.643835616438356,Adults,4
Random,-124.76649250079,21.005479452054793,Adults,5
Vanilla,-1.77635683940025e-15,21.005479452054793,Adults,5
EmoQ,0.0217712976002797,21.005479452054793,Adults,5
EmoBias,0.0217712976003367,21.005479452054793,Adults,5
EmoHier,0.0023264202234855,21.005479452054793,Adults,5
EmoAvg,0.0217712976002746,21.005479452054793,Adults,5
Cong,0.0275640895979177,21.005479452054793,Adults,5
Cond,0.0275640897338847,21.005479452054793,Adults,5
CongBeta,0.0275640713717873,21.005479452054793,Adults,5
CondBeta,0.0275640711565196,21.005479452054793,Adults,5
Random,-124.76649250079,19.183561643835617,Adults,6
Vanilla,0.404968854962875,19.183561643835617,Adults,6
EmoQ,0.251804093106085,19.183561643835617,Adults,6
EmoBias,0.428610094913095,19.183561643835617,Adults,6
EmoHier,0.404968854962511,19.183561643835617,Adults,6
EmoAvg,0.274466656075642,19.183561643835617,Adults,6
Cong,0.422063151753759,19.183561643835617,Adults,6
Cond,0.422170459615059,19.183561643835617,Adults,6
CongBeta,0.418012104947304,19.183561643835617,Adults,6
CondBeta,0.41817412194697,19.183561643835617,Adults,6
Random,-124.76649250079,18.117808219178084,Adults,7
Vanilla,-1.77635683940025e-15,18.117808219178084,Adults,7
EmoQ,0.0114598886135504,18.117808219178084,Adults,7
EmoBias,0.02971844886375,18.117808219178084,Adults,7
EmoHier,0.0201936800824427,18.117808219178084,Adults,7
EmoAvg,0.0118731251191191,18.117808219178084,Adults,7
Cong,-1.77635683940025e-15,18.117808219178084,Adults,7
Cond,0.0143738472399944,18.117808219178084,Adults,7
CongBeta,0.0111035574500441,18.117808219178084,Adults,7
CondBeta,0.0145834554314864,18.117808219178084,Adults,7
Random,-124.76649250079,19.03835616438356,Adults,8
Vanilla,-1.77635683940025e-15,19.03835616438356,Adults,8
EmoQ,0.285305778342446,19.03835616438356,Adults,8
EmoBias,0.248370832612136,19.03835616438356,Adults,8
EmoHier,0.248370832538534,19.03835616438356,Adults,8
EmoAvg,0.249085398837274,19.03835616438356,Adults,8
Cong,0.113961338522567,19.03835616438356,Adults,8
Cond,0.306122917960884,19.03835616438356,Adults,8
CongBeta,0.111335714705403,19.03835616438356,Adults,8
CondBeta,0.306905294228017,19.03835616438356,Adults,8
Random,-124.76649250079,18.471232876712328,Adults,9
Vanilla,0.0180294439798094,18.471232876712328,Adults,9
EmoQ,0.0440124649771153,18.471232876712328,Adults,9
EmoBias,0.0610328639134891,18.471232876712328,Adults,9
EmoHier,0.0440949347358797,18.471232876712328,Adults,9
EmoAvg,0.0457150599984926,18.471232876712328,Adults,9
Cong,0.0513362025933892,18.471232876712328,Adults,9
Cond,0.0513362027231328,18.471232876712328,Adults,9
CongBeta,0.0499473025259338,18.471232876712328,Adults,9
CondBeta,0.0499473025236048,18.471232876712328,Adults,9
Random,-124.76649250079,20.361643835616437,Adults,10
Vanilla,0.0495794562513092,20.361643835616437,Adults,10
EmoQ,0.100445197183772,20.361643835616437,Adults,10
EmoBias,0.0648696488275328,20.361643835616437,Adults,10
EmoHier,0.112178016696826,20.361643835616437,Adults,10
EmoAvg,0.0626674685469706,20.361643835616437,Adults,10
Cong,0.140357167922737,20.361643835616437,Adults,10
Cond,0.208239892337901,20.361643835616437,Adults,10
CongBeta,0.140491568757415,20.361643835616437,Adults,10
CondBeta,0.205793507978135,20.361643835616437,Adults,10
Random,-124.76649250079,20.676712328767124,Adults,11
Vanilla,0.0362290405628924,20.676712328767124,Adults,11
EmoQ,0.0775016569489427,20.676712328767124,Adults,11
EmoBias,0.0828259183773683,20.676712328767124,Adults,11
EmoHier,0.0359816991575481,20.676712328767124,Adults,11
EmoAvg,0.0943877797784646,20.676712328767124,Adults,11
Cong,-1.77635683940025e-15,20.676712328767124,Adults,11
Cond,-1.77635683940025e-15,20.676712328767124,Adults,11
CongBeta,0.03697226110074,20.676712328767124,Adults,11
CondBeta,0.0581533351143612,20.676712328767124,Adults,11
Random,-124.76649250079,14.942465753424658,Adolescents,12
Vanilla,0.0260748613985495,14.942465753424658,Adolescents,12
EmoQ,0.0853237432273829,14.942465753424658,Adolescents,12
EmoBias,0.179235225202318,14.942465753424658,Adolescents,12
EmoHier,0.0741398154574596,14.942465753424658,Adolescents,12
EmoAvg,0.0311715703765608,14.942465753424658,Adolescents,12
Cong,0.388138584398076,14.942465753424658,Adolescents,12
Cond,0.390697940699393,14.942465753424658,Adolescents,12
CongBeta,0.388138546626809,14.942465753424658,Adolescents,12
CondBeta,0.391225529091804,14.942465753424658,Adolescents,12
Random,-124.76649250079,20.65205479452055,Adults,13
Vanilla,-1.77635683940025e-15,20.65205479452055,Adults,13
EmoQ,-2.00375429582067e-8,20.65205479452055,Adults,13
EmoBias,-2.00374441483575e-8,20.65205479452055,Adults,13
EmoHier,0.00598564885385977,20.65205479452055,Adults,13
EmoAvg,-8.014982455506471e-9,20.65205479452055,Adults,13
Cong,-1.77635683940025e-15,20.65205479452055,Adults,13
Cond,0.0168359780297775,20.65205479452055,Adults,13
CongBeta,0.0158597273981579,20.65205479452055,Adults,13
CondBeta,0.0166262550423496,20.65205479452055,Adults,13
Random,-124.76649250079,13.69041095890411,Adolescents,16
Vanilla,0.061796025019117,13.69041095890411,Adolescents,16
EmoQ,0.174988789175819,13.69041095890411,Adolescents,16
EmoBias,0.184159815195503,13.69041095890411,Adolescents,16
EmoHier,0.140109746642484,13.69041095890411,Adolescents,16
EmoAvg,0.203634039498062,13.69041095890411,Adolescents,16
Cong,0.127588749713912,13.69041095890411,Adolescents,16
Cond,0.141977762536938,13.69041095890411,Adolescents,16
CongBeta,0.128219699874596,13.69041095890411,Adolescents,16
CondBeta,0.142622086359623,13.69041095890411,Adolescents,16
Random,-124.76649250079,19.813698630136987,Adults,14
Vanilla,0.00102964606519496,19.813698630136987,Adults,14
EmoQ,-8.01506550018871e-9,19.813698630136987,Adults,14
EmoBias,-6.221007931017651e-9,19.813698630136987,Adults,14
EmoHier,0.0067038706776934,19.813698630136987,Adults,14
EmoAvg,-4.0075092133662305e-9,19.813698630136987,Adults,14
