Data_Model,m,se
aic_vanillaM_vanillaD,201.08000978579915,7.233046673096965
aic_vanillaM_emoBiasD,214.91960115924803,4.986682437925845
aic_vanillaM_condD,215.6549563062924,3.9304993530242522
aic_vanillaM_condBetaD,213.49003136495844,3.926413174003376
aic_emoBiasM_vanillaD,206.26593210462647,6.656246252391498
aic_emoBiasM_emoBiasD,196.94771257489512,5.644364747922736
aic_emoBiasM_condD,215.06765996740543,3.734978168824216
aic_emoBiasM_condBetaD,213.55447427660482,3.6710332219909447
aic_condM_vanillaD,204.94421334396742,7.296395220750906
aic_condM_emoBiasD,212.90073101673434,5.082911643471776
aic_condM_condD,193.13082223960592,5.330263080111863
aic_condM_condBetaD,191.8106790502643,4.473211081176591
aic_condBetaM_vanillaD,204.4553012157986,7.188393527233453
aic_condBetaM_emoBiasD,210.6718969301743,4.941089612324423
aic_condBetaM_condD,196.3466822095461,4.859721833969488
aic_condBetaM_condBetaD,190.20873776921493,4.476694263563062
