Data_Model,m,se
bic_vanillaM_vanillaD,207.46592348757935,7.233046673096956
bic_vanillaM_emoBiasD,221.30551486102826,4.986682437925842
bic_vanillaM_condD,222.0408700080727,3.930499353024243
bic_vanillaM_condBetaD,219.87594506673884,3.92641317400337
bic_emoBiasM_vanillaD,215.8448026572971,6.6562462523915
bic_emoBiasM_emoBiasD,206.52658312756563,5.644364747922733
bic_emoBiasM_condD,224.64653052007603,3.734978168824213
bic_emoBiasM_condBetaD,223.13334482927536,3.671033221990952
bic_condM_vanillaD,220.90899759841847,7.296395220750904
bic_condM_emoBiasD,228.8655152711854,5.082911643471775
bic_condM_condD,209.09560649405697,5.330263080111866
bic_condM_condBetaD,207.77546330471537,4.47321108117659
bic_condBetaM_vanillaD,220.42008547024972,7.188393527233455
bic_condBetaM_emoBiasD,226.63668118462542,4.941089612324426
bic_condBetaM_condD,212.3114664639971,4.8597218339694885
bic_condBetaM_condBetaD,206.17352202366598,4.476694263563062
