StudyID,beta_cc_in,beta_ci_in,beta_ic_in,beta_ii_in,alpha_in,lik_in,beta_cc_out,beta_ci_out,beta_ic_out,beta_ii_out,alpha_out,lik_out
1,1e-6,0.0250079985010454,1e-6,14.115055496816,0.200738234351206,-98.3939473442565,0.49258261441171,0.102261211304647,1e-6,30,0.0905017831626639,96.2979719248989
2,1e-6,13.1756992321367,24.3009402191725,1e-6,0.00358287982668212,-121.466872242093,1e-6,0.747158220732714,1.18921926978516,1e-6,0.565317027122017,118.456713743904
3,7.44628818439478,11.6659947273158,1e-6,30,0.216673785856493,-54.1193288960184,6.21940938474975,10.9660616378117,1e-6,30,0.276314836540695,53.2310061766463
4,1.79792951966309,1e-6,5.1383672619077,1e-6,0.00494916621536201,-123.925583452511,24.3864547287496,1e-6,30,1e-6,0.00218944335565714,123.055964262406
5,1.44897007421732,0.405115241569466,1.91546585385744,3.54902552950221,0.0111340113978647,-124.441568449627,0.895447902708705,1e-6,1e-6,0.916610262993057,0.588624381037728,121.406620408906
6,1.26242152901966,30,10.5469091863497,27.1868286496147,0.966847655931994,-51.6980902351977,2.06768393949914,16.3636785850941,6.53211860936336,30,0.936728424847784,49.9101864764675
7,4.78595777175387,10.9081229138057,1.94994017080538,6.24038675299009,0.00494916621536201,-124.4423753326,0.496509133128943,2.43772638325887,1e-6,1e-6,0.0608186949419006,123.44316600406
8,30,1e-6,16.8054984486647,1e-6,0.0500796848566604,-88.0447098766534,30,0.734385240603008,18.6905093211481,1.2263803276041,0.0438906041635696,87.2894794101726
9,30,1e-6,0.29066320877374,1e-6,1,-105.385381409878,28.1430189711061,0.336372501163212,1e-6,0.587614489699083,1,103.533725972165
10,4.57922309906763,1e-6,0.272701083977804,30,0.173563775466386,-86.0199342768074,3.6002821069615,0.999882837777217,1e-6,22.1840038703668,0.270062696416029,83.6319949344559
11,15.0090702946144,8.48913446484077,1e-6,30,0.0503581831445047,-71.3406430750926,10.3431860418809,4.19710899516673,1e-6,30,0.103771278313605,69.4215521031906
12,1.03975131122562,7.05983644368437,5.1383672619077,1e-6,0.562017992359358,-82.3621014067707,1.50913733202145,6.17294303062097,5.21847808423815,1.02765665004453,0.531133069014004,78.39235844726
13,26.0985433001684,0.554122155498674,1.04940265831835,4.71516930560226,0.378302414765653,-82.7194001093878,24.6397532872412,1.1128133412029,1.87394517276255,4.00280627430837,0.315866778841409,80.875580976521
14,22.7157647286775,30,1.74856722523638,0.718634538702661,0.173563775466386,-58.9675094461355,30,14.2497972759704,2.47955730859093,1.45153181426008,0.21105359599172,56.8265326758473
15,0.831955092271119,17.8235461314197,8.39651548445271,1e-6,1,-81.6671671272842,1.10769026038846,26.589011587522,30,1e-6,1,81.4312519774941
16,4.57922309906763,1.22768013982391,4.10844308352715,1.01011628202244,0.00955153671338725,-126.083637087767,15.1874439338526,0.0835486891689727,18.4402867213123,18.990237163161,0,124.76649250079
17,30,1e-6,1e-6,30,0.146951233044778,-68.9052772304419,30,1e-6,0.812684309247874,24.6875801733339,0.157577933846901,67.8502156888781
18,1e-6,13.1756992321367,1e-6,0.259730949410455,0.140548889372233,-105.942874221914,1e-6,8.29061807708281,1.00719977890217,1e-6,0.138928303571816,103.544967786922
19,4.78595777175387,0.256682686690314,4.26722387947243,1.00000000000002e-6,0.0820747696627575,-110.84952994097,4.54706599188501,0.0525735013836821,2.96242849789143,0.100657474839123,0.115750867372809,110.568310408857
20,7.44628818439478,20.9897756240396,6.14915836704934,7.57656105709188,0.130664931755597,-51.6113213953147,7.35137852795025,30,4.00882696144837,3.59077870256321,0.235855502032138,45.5376970883606
21,2.58286506285214,1.20036297440097,1.19775555584719,27.5107525009444,0.0538688298703088,-99.5569949455255,1.64461435907738,1.13818200330324,1e-6,17.0329860231363,0.379644473189182,94.9368081725266
22,3.85614917765216,30,19.3022986670286,1e-6,0.100911417377725,-62.0037998482125,4.12712641610554,30,30,0.718041400829599,0.167214952070709,58.7450357267298
23,4.03271008330286,1e-6,19.596725479216,0.752687652393282,0.966847655931994,-87.6583888289181,30,0.562800780706258,15.102162716043,0.47580630272642,0.99079459306651,85.6765963516437
24,18.122989107876,30,30,16.7250988732897,0.0712612826805959,-35.5609050769583,15.1708669356179,30,29.6518073178069,11.2210242316339,0.0979128792417646,35.2471508546556
25,1e-6,6.9605541948145,16.35234366183,1e-6,0.130664931755597,-83.59475527512,0.126420509418022,5.79701362752389,13.1138018407636,0.995836334628257,0.234045270065628,81.2574549580364
26,15.7576692373618,1e-6,1e-6,0.637057119413176,0.364404934814685,-94.1080595765081,30,1e-6,1e-6,1.02587661696725,0.314124837898286,92.7279409058106
27,1.20219875216066,8.48913446484077,0.501229362559449,1e-6,0.146239564391716,-101.504338833538,1.29639586550408,12.0685130391663,0.0440136293860775,1e-6,0.142780475988215,100.418301908225
28,4.40187107820007,1e-6,9.35621394450203,13.159909775782,4.46508720273869e-5,-124.74999026704,0.137796314552834,1.01908755081364,1.14005648027325,1.48861550668569,0.156953596941579,122.05023640166
29,30,0.775412766671863,1.43823797858113,7.25648245457014,0.130664931755597,-85.1783672946608,30,0.0663613650614712,1.61673984834024,5.34275087868867,0.138875363653101,83.9071684548681
30,6.05732987771162,1e-6,1e-6,1e-6,0.130664931755597,-119.911603007095,30,1e-6,1e-6,1e-6,0.00815686093943048,117.941267577782
31,15.7576692373618,1.3357098920144,30,1.71077273948482,0.07359859333656,-83.5770588369716,7.09997486406855,1e-6,30,0.68372979096026,0.125602731240192,80.4249607077555
32,1.71311692551644,0.618265862471404,14.9383035109372,1e-6,0.146239564391716,-92.056447358816,2.85224011229682,1e-6,30,1e-6,0.234801348208948,88.7734012625597
33,18.5264050780208,8.62807651303621,1e-6,1.42864568815005,0.0503581831445047,-83.9181431132984,30,10.3932758321009,1.34143176688499,0.105030292904384,0.0508840474797703,81.1879818920201
34,1.99818641831492,1.45789151271281,1e-6,1e-6,0.00386615371185435,-124.488738225005,13.9235781738536,30,0.195282626605975,1e-6,0.00309026885868353,122.754013190898
35,30,1.28199622264355,6.79342919611065,1e-6,0.219198680041502,-91.1010876783746,30,1.44077527829678,3.31961135479835,0.403869936284751,0.160433122541849,86.528991509503
36,1e-6,1e-6,4.10844308352715,14.4128611653693,4.46508720273869e-5,-124.785122582704,0.568209183544077,1e-6,1e-6,1e-6,0.337050036918543,124.228141148558
37,1.58384030476628,7.71137468342746,30,6.24038675299009,0.0764062964174547,-70.9372436500177,0.412116559934994,5.87760851015911,22.2878926420286,10.6810668124199,0.116079208920739,67.2689422271408
38,9.14681531798578,1e-6,0.272701083977804,6.24038675299009,1,-80.6095341566827,29.6782430168579,0.13133450813084,1.13619015255576,29.6153819997754,1,77.8282668043205
39,4.78595777175387,1.94557457529785,2.02701340960408,1e-6,0.216673785856493,-101.764072610389,3.3796243752689,1.81421674134887,2.64365857519328,1e-6,0.279227017430734,100.595754539366
40,4.04758344710603,0.160832327359796,1e-6,30,0.00533180993740837,-119.969981202036,1e-6,1e-6,0.293812693292358,2.55206944828999,0.174135157286444,118.387515780472
41,1e-6,1.31114554818658,12.8334286978291,4.72019544594015,0.689606402319638,-75.8085028831457,1e-6,1.46758962164867,18.0496071951996,5.17006834866862,0.716318149540079,75.6073704838257
42,17.4418622978915,0.872893142971089,1.94994017080538,0.0798159836629598,0.352689853954683,-94.5116866607154,11.9617575451256,1.07891781827798,3.88165794262522,0.236665391656352,0.43368552992384,90.7430749108592
43,0.272230300773329,5.25095594000099,0.560862804151185,0.660412026029122,0.373830681706019,-108.254439007081,1e-6,7.89084283042078,0.956309479314678,0.86464890727052,0.249428184601574,106.444437881129
44,2.17622625103975,20.3320164141852,30,8.94253959184826,0.0655355482627297,-55.2474533020689,1.28505269969439,30,17.3111046687555,7.06590137984856,0.0785742607520635,53.2197428928362
45,7.44628818439478,1e-6,5.95452253479491,1e-6,0.00350921365479788,-124.926618904022,15.8469948413686,13.783368557559,11.5983321477812,6.684832196176,0,124.76649250079
46,14.4034926133476,13.1756992321367,4.26722387947243,13.159909775782,0.352689853954683,-38.2352320165312,18.4479446914253,13.7156568183111,4.05570262225841,30,0.567392316525694,33.8906671639162
47,1e-6,1e-6,18.7914529262869,0.515970812686577,1,-103.851574527035,0.0498256889400559,1e-6,15.1747643688971,0.301566247736826,0.947775760932205,103.056390400907
48,1.20219875216066,1e-6,4.16482034648669,4.71516930560226,0.199486038734038,-91.2836260408584,1.07871295557037,0.937852947363658,5.42172226033917,5.32342599777383,0.258796974903511,88.096035087035
49,30,8.9554502082353,1.22904216625403,27.1868286496147,0.0157572245778644,-89.6735140116689,30,5.60821323846408,2.19106967094903,24.5293755947099,0.0188495826295006,89.0440563782087
50,0.498465127831582,30,18.4172825335553,4.71516930560226,0.00979534795660335,-99.711061046688,0.453218119743715,7.8454383887256,5.06552225784775,3.46613946211406,0.059190202822398,98.5464363547992
51,1e-6,1e-6,1.85084747123729,1e-6,0.075355943503079,-124.012855333197,0.501439835235843,1e-6,0.822901221570316,0.759995979345773,0.259425728264591,122.222045381583
52,1e-6,7.71137468342746,1e-6,8.60108213483612,0.00620640668109793,-125.076021235327,1e-6,30,1e-6,4.17261231102687,0.00240433881899386,124.355705576399
53,30,1.13480028261316,1e-6,1e-6,0.0360588325118581,-100.171633098303,13.8806584093025,1.22440574923249,0.0740027513288503,0.544797744485552,0.120147923610517,98.5497663999284
54,0.272230300773329,0.405115241569466,5.36816239240995,1.40459206234261,0.00436058713089951,-124.178258626429,0.479989360086566,0.308350617340148,0.451292193200616,0.0699849749859879,0.688502109540333,123.308429803243
55,1.12840462693174,1e-6,3.42038927841872,1e-6,0.200041047443856,-120.426595840759,0.243888113414392,1e-6,5.29430316585826,1e-6,0.140233680040724,119.262988473511
56,13.0470438747528,17.8235461314197,2.56767106319438,1e-6,1,-73.5790215118692,13.9594751555353,13.1665509305208,4.48902746117926,0.362368926518687,0.916375575694372,69.8367705651727
57,2.58286506285214,4.31012149694736,19.2361757169311,1e-6,0.0431702895768495,-100.179594173182,2.18338113108152,8.70787946795794,30,1.8489937512728,0.0223076691414031,99.4490708318617
58,3.15012203521668,4.31012149694736,1.91546585385744,1e-6,0.769811113730633,-92.8742296689927,5.89794133477894,5.90518699800266,1.31196756101042,1e-6,0.24553528198065,88.5362750349293
59,6.0549435005086,30,2.84055630936209,4.80332726060481,0.373830681706019,-37.371433720251,7.19960132096392,30,3.99671334477252,4.84503023015962,0.399512090909836,36.4634680294367
60,0.0873483749691728,1e-6,0.478430078820102,0.660412026029122,0.0503581831445047,-124.694215336236,1e-6,4.41000693703323,30,1e-6,0.00717374679896924,121.167193196763
61,8.72260925277334,1.13480028261316,0.0440629987134507,14.115055496816,0.00386615371185435,-121.622091750976,1e-6,0.554746197236097,1e-6,2.90767767715617,0.24656335741588,115.704527608157
62,14.5262885343471,0.397247489230644,10.5469091863497,28.2584298402464,0.504012194258056,-43.0415092676948,30,1.26432558681216,10.4154193631769,22.0749154655443,0.379117175252929,40.2767745492478
