StudyID,beta_in,alpha_cc_in,alpha_ci_in,alpha_ic_in,alpha_ii_in,lik_in,beta_out,alpha_cc_out,alpha_ci_out,alpha_ic_out,alpha_ii_out,lik_out
1,17.9712246761252,0.103956980781468,0.00778914899498615,0.320729859826367,0,-74.1998333103513,30,0.0336783920301711,0.00188897143436162,0.385163280359564,0,71.5283094547079
2,23.4909158963067,0.114226655514968,0.216134514299911,0.0184817783099017,0.913371536483205,-35.9352376239264,30,0.0774060553159594,0.15370001958456,0.0211667406384215,0.920232085265462,35.2082543549564
3,1.28860809883252,0.0518442834817508,0.057179448617994,0.00473009473369802,0,-124.269334758614,1.00000000102796e-6,1.11022302462516e-16,0,0,0,124.76649250079
4,1.00000000102796e-6,0.0652158276158878,0.0914260375909186,0.0361234033353882,0.04961597672406,-124.766491937578,0.756303306327488,0,1,0.506034420967395,0.00516158247905436,122.258702958996
5,1.52852176571105,0.0240037736693646,0.569197327310646,0.361708914130482,0.0841453922042265,-118.702740227303,1.00000000102796e-6,0,-1.38777878078145e-17,0,0,124.76649250079
6,1.57047674032045,0.0678739002233872,1,0,0,-114.748251645521,2.09008734765994,0.126573093942987,0.687185373921072,0.00327868017398147,0,113.450063575863
7,2.04389472990507,0,1,0.12493222239593,0.0327462034838174,-119.163496873956,1.59488993896361,0,0.93180192965536,0.0793345511987319,0,117.446016362854
8,20.8309213657478,1,0.0171044968059024,0.186990681611929,0.405954079649508,-33.7123420892066,30,0.971992926531181,0.0126391595950395,0.0881054817160491,0.567006429863433,31.5035684170747
9,12.0543130223526,0,0,0,0,-124.76649250079,9.99999997475243e-7,0,0,0,0,124.76649250079
10,30,0,0.723496778872416,0.0196174112740039,0.493461465974728,-61.2991012577432,25.3267206589806,0,0.810514449032373,0.0176573102793053,0.320288213082844,58.314975012921
11,1.00000000013978e-6,0.103956980781468,1,0.125685550885004,0.236284327715752,-124.766494703146,0.106378803655556,0.00971568284925239,1,0,0,124.726411886128
12,18.4225736208023,0,0.00963789316395662,1,0,-97.8704124521405,11.4199188039576,0,0.0115827275212688,0.831150059666375,0,96.4079655379579
13,16.6070161436582,0.103956980781468,0.216134514299911,0,0.0841453922042265,-75.5378500131979,30,0.031739226511923103,0.33265384097619,0,0.0143968035641686,71.7944413212042
14,30,0.0292855776606502,0.189830554540475,0.932886304993574,0,-48.8042944273082,30,0.0314147892670472,0.471157242965139,0.909858960628336,0,48.1815377042496
15,2.04389472990507,0.0518442834817508,1,0.0523977578808757,0.112544933443278,-105.525293316184,2.79054234899891,0.0247272987152036,1,0.0515208478111031,0.0739385045687383,104.515439686742
16,30,0.0737182393580768,1,0,1,-59.69664180888,30,0.0360570108264685,1,0,1,57.8881825601326
17,11.6132080262354,0.154767682469705,0.0641881020742191,0.320729859826367,1,-43.2796826306976,17.8906098422123,0.108744588061536,0.0203849793700416,0.423346027582267,0.995152583623464,41.2601746452221
